,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
ALMENDRAS (IMPORTADAS) *,,,,,,2026-03-31,
PRODUCTO,PRESENTACI├ôN,,REMITO,,,PX (IVA INCLUIDO),
,,,KG,BULTO,,KG,BULTO
ALMENDRA NON PAREIL 23/25 - CHILE,CAJA X 10 KG,,"$ 18.862,95","$ 188.629,55",,"$ 19.497,00","$ 194.970,04"
ALMENDRA NON PAREIL 27/30 - CHILE 2026,CAJA X 10 KG,,"$ 18.965,96","$ 189.659,59",,"$ 19.603,47","$ 196.034,70"
ALMENDRA NON PAREIL 30/34 - CHILE 2026,CAJA X 10 KG,,"$ 17.832,91","$ 178.329,13",,"$ 18.432,34","$ 184.323,38"
CASTA├æAS DE CAJ├Ü (IMPORTADAS),,,,,,,
PRODUCTO,PRESENTACI├ôN,,REMITO,,,PX (IVA INCLUIDO),
,,,KG,BULTO,,KG,BULTO
CASTA├æAS DE CAJ├Ü W4 (BRASIL DUNORTE),"CAJA X 22,68 KG",,"$ 14.838,06","$ 336.527,26",,"$ 16.989,58","$ 385.323,71"
CASTA├æAS DE CAJ├Ü X 20 KG (VIETNAM),CAJA X 20 KG,,"$ 11.914,44","$ 238.288,85",,"$ 13.642,04","$ 272.840,73"
"CASTA├æA CAJ├Ü BRASIL W1S X 22,68 KG (BRASIL)","CAJA X 22,68 KG",,"$ 16.839,46","$ 381.918,99",,"$ 18.363,03","$ 416.473,56"
AVELLANAS (IMPORTADAS),,,,,,,
PRODUCTO,PRESENTACI├ôN,,REMITO,,,PX (IVA INCLUIDO),
,,,KG,BULTO,,KG,BULTO
AVELLANA X 10KG 11/13 CHILE,CAJA X 10 KG,,"$ 29.000,00","$ 290.000,00",,"$ 32.045,00","$ 320.450,00"
AR├üNDANOS (IMPORTADOS),,,,,,,
PRODUCTO,PRESENTACI├ôN,,REMITO,,,PX (IVA INCLUIDO),
,,,KG,BULTO,,KG,BULTO
