,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
ALMENDRA NON PAREIL,,,,,
PRODUCTO,PESO BULTO,,PRECIO KG X BULTO CERRADO,PRECIO KG X 5KG,PRECIO 1KG
,,,,,
ALMENDRA NON PAREIL 23/25 - CHILE 2026,CAJA X 10 KG,,$19.570,-,-
ALMENDRA NON PAREIL 27/30 - CHILE 2026,CAJA X 10 KG,,$18.750,$21.563,$24.795
ALMENDRA NON PAREIL 30/34 - CHILE 2026🔥OFERTA🔥,CAJA X 10 KG,,$17.500,$20.125,$23.143
ALMENDRA CARMEL,,,,,
PRODUCTO,PESO BULTO,,PRECIO KG X BULTO CERRADO,PRECIO KG X 5KG,PRECIO 1KG
,,,,,
ALMENDRA CARMEL X 10 KG 20/22,CAJA X 10 KG,,$16.980,-,-
ALMENDRA GUARA,,,,,
PRODUCTO,PESO BULTO,,PRECIO KG X BULTO CERRADO,PRECIO KG X 5KG,PRECIO 1KG
,,,,,
ALMENDRA GUARA CHICA,CAJA X 10 KG,,$15.070,-,-
HARINA DE ALMENDRA,,,,,
PRODUCTO,PESO BULTO,,PRECIO KG X BULTO CERRADO,PRECIO KG X 5KG,PRECIO 1KG
,,,,,
HARINA DE ALMENDRA CHILENA SIN PIEL,CAJA X 10 KG,,$23.430,$26.945,$29.053
HARINA DE ALMENDRA CHILENA CON PIEL,CAJA X 10 KG,,$19.880,$22.862,$24.651
NUEZ,,,,,
PRODUCTO,PESO BULTO,,PRECIO KG X BULTO CERRADO,PRECIO KG X 5KG,PRECIO 1KG
,,,,,
NUEZ MARIPOSA EXTRA LIGHT    🔥SUPER OFERTA🔥,CAJA X 10 KG,,$13.900,$15.985,$18.389
NUEZ CUARTOS EXTRA LIGHT    🔥SUPER OFERTA🔥,CAJA X 10 KG,,$13.000,$14.950,$17.195
AVELLANA,,,,,
PRODUCTO,PESO BULTO,,PRECIO KG X BULTO CERRADO,PRECIO KG X 5KG,PRECIO 1KG
,,,,,
AVELLANA 11/13 CHILE,CAJA X 10 KG,,$30.960,$35.604,$38.390
ARÁNDANOS,,,,,
PRODUCTO,PESO BULTO,,PRECIO KG X BULTO CERRADO,PRECIO KG X 5KG,PRECIO 1KG
,,,,,
ARANDANOS SLICE CHILE,"CAJA X 11,34 KG",,$13.740,$15.801,$17.038
AVENA,,,,,
PRODUCTO,PESO BULTO,,PRECIO KG X BULTO CERRADO,PRECIO KG X 5KG,PRECIO 1KG
,,,,,
AVENA INSTANTÁNEA FINA,BOLSA X 25 KG,,$1.940,$2.231,$2.406
AVENA INSTANTÁNEA GRUESA,BOLSA X 25 KG,,$1.940,$2.231,$2.406
CASTAÑA DE CAJÚ,,,,,
PRODUCTO,PESO BULTO,,PRECIO KG X BULTO CERRADO,PRECIO KG X 5KG,PRECIO 1KG
,,,,,
CASTAÑA CAJÚ BRASIL W1S,"CAJA X 22,68 KG",,$21.340,-,-
CASTAÑAS DE CAJÚ BRASIL W4,"CAJA X 22,68 KG",,$16.060,$18.469,$19.914
